Time,4/18/23 15:44,4/18/23 15:54,4/18/23 16:04,4/18/23 16:14,4/18/23 16:24,4/18/23 16:34,4/18/23 16:44,4/18/23 16:54,4/18/23 17:04,4/18/23 17:14,4/18/23 17:24,4/18/23 17:34,4/18/23 17:44,4/18/23 17:54,4/18/23 18:04,4/18/23 18:14,4/18/23 18:24,4/18/23 18:34,4/18/23 18:44,4/18/23 18:54,4/18/23 19:04,4/18/23 19:14,4/18/23 19:24,4/18/23 19:34,4/18/23 19:44,4/18/23 19:54,4/18/23 20:04,4/18/23 20:14,4/18/23 20:24,4/18/23 20:34,4/18/23 20:44,4/18/23 20:54,4/18/23 21:04,4/18/23 21:14,4/18/23 21:24,4/18/23 21:34,4/18/23 21:44,4/18/23 21:54,4/18/23 22:04,4/18/23 22:14,4/18/23 22:24,4/18/23 22:34,4/18/23 22:44,4/18/23 22:54,4/18/23 23:04,4/18/23 23:14,4/18/23 23:24,4/18/23 23:34,4/18/23 23:44,4/18/23 23:54,4/19/23 0:04,4/19/23 0:14,4/19/23 0:24,4/19/23 0:34,4/19/23 0:44,4/19/23 0:54,4/19/23 1:04,4/19/23 1:14,4/19/23 1:24,4/19/23 1:34,4/19/23 1:44,4/19/23 1:54,4/19/23 2:04,4/19/23 2:14,4/19/23 2:24,4/19/23 2:34,4/19/23 2:44,4/19/23 2:54,4/19/23 3:04,4/19/23 3:14,4/19/23 3:24,4/19/23 3:34,4/19/23 3:44,4/19/23 3:54,4/19/23 4:04,4/19/23 4:14,4/19/23 4:24,4/19/23 4:34,4/19/23 4:44,4/19/23 4:54,4/19/23 5:04,4/19/23 5:14,4/19/23 5:24
A01,0.145225298,0.145608186,0.147450524,0.149007888,0.151075687,0.153890703,0.156277359,0.159423974,0.166094121,0.167788599,0.171147237,0.182381847,0.180797313,0.191347764,0.192942015,0.201769146,0.210959222,0.221608492,0.239766373,0.248977908,0.266760638,0.28260819,0.304558069,0.333131285,0.363206659,0.386565712,0.402811166,0.418933023,0.430363076,0.440105159,0.454351515,0.467813055,0.483369454,0.489428495,0.491376911,0.489098806,0.491402562,0.495380141,0.49518948,0.499152171,0.498068075,0.505441913,0.507347474,0.511125236,0.507199838,0.514111792,0.514207695,0.52071596,0.527092724,0.524562012,0.525424125,0.529867633,0.515438927,0.532080954,0.515130782,0.51457916,0.52405109,0.516925966,0.508345857,0.501627053,0.506295867,0.501008804,0.491841425,0.491416555,0.490365516,0.491150634,0.480233752,0.484183305,0.470364044,0.484690747,0.464280638,0.482470251,0.46252189,0.471552702,0.467815241,0.458573233,0.455205029,0.469662185,0.470301815,0.468476503,0.458108354,0.467141776,0.459764672
B01,0.147742306,0.148679201,0.151165216,0.152333939,0.158670695,0.161265996,0.161232174,0.16422168,0.170319926,0.175759861,0.18007097,0.186549001,0.19203348,0.208531771,0.213405203,0.233303918,0.238106883,0.269688686,0.285012492,0.302269767,0.324212843,0.34710796,0.367961993,0.386419132,0.402394694,0.421195892,0.435180148,0.444210877,0.45391042,0.473545494,0.495910275,0.504625737,0.510498191,0.50571432,0.504334815,0.496374953,0.505793906,0.506486651,0.508338565,0.512715184,0.513198224,0.521570498,0.524806331,0.525280316,0.530319091,0.532303908,0.535285374,0.543075404,0.541925861,0.535272453,0.541572165,0.539529006,0.536691862,0.534697239,0.533875679,0.533317716,0.531957982,0.534712686,0.523374965,0.52897121,0.518433036,0.514894278,0.523631209,0.523839852,0.514360159,0.523900194,0.51928556,0.520948161,0.514539771,0.515214573,0.52050884,0.520167171,0.512406532,0.50219595,0.515209641,0.507592016,0.503117816,0.504709959,0.504825448,0.50663885,0.496160251,0.49158925,0.490249164
C01,0.162514767,0.162535563,0.163800081,0.165440452,0.166395388,0.16865108,0.168826424,0.175374282,0.17924354,0.180379822,0.185183147,0.196145761,0.200133886,0.206276332,0.215912062,0.226593715,0.238818439,0.254416464,0.2743318,0.291807969,0.312382135,0.334172959,0.360236443,0.382365187,0.405008558,0.420557204,0.437428552,0.448045302,0.457598647,0.477784774,0.495368392,0.506677512,0.511210697,0.515047007,0.520758415,0.505926581,0.515762074,0.512957867,0.515327966,0.516470922,0.517468232,0.519126356,0.520868278,0.526204513,0.5247081,0.524345481,0.528866931,0.526439684,0.529995111,0.530069086,0.532109115,0.525429159,0.530510537,0.518209628,0.528084258,0.516819604,0.513119729,0.527756885,0.514982955,0.516671185,0.511965965,0.514077368,0.501314236,0.516263344,0.50394559,0.510578662,0.50682497,0.506919273,0.501018343,0.506723457,0.500481951,0.50181103,0.498535051,0.490952489,0.498198396,0.495858411,0.48972357,0.496214522,0.49536131,0.486719503,0.490446993,0.491069054,0.4888923
D01,0.163801181,0.161160201,0.16192765,0.164079986,0.164907643,0.166386565,0.169104056,0.174739117,0.179988952,0.18765244,0.193352916,0.20089697,0.206137185,0.216044492,0.227989577,0.238802785,0.254355623,0.271085689,0.291672435,0.309364417,0.334039779,0.359159699,0.382813744,0.403755925,0.419559443,0.437109291,0.448134011,0.45801762,0.467852829,0.487777944,0.506856396,0.514968182,0.516668727,0.515076578,0.509108299,0.506745186,0.506278956,0.504070461,0.50444538,0.50622341,0.506986975,0.506030315,0.50605928,0.504878388,0.508532692,0.498027784,0.504125732,0.503053118,0.494749581,0.493624787,0.51203935,0.490065349,0.500694037,0.495307163,0.513482889,0.481383604,0.488210828,0.486747219,0.474130331,0.492376593,0.481292409,0.480850415,0.473885982,0.504087296,0.464212696,0.478271208,0.473827734,0.485072295,0.471095989,0.486435689,0.469158731,0.477046006,0.476635362,0.458869689,0.486334229,0.479465809,0.482189207,0.472530062,0.483898882,0.481244547,0.470746545,0.488878393,0.475876013
E01,0.159290392,0.157273972,0.157771512,0.159979454,0.160223206,0.163626744,0.166595247,0.171214224,0.17753784,0.182143654,0.188960941,0.196895941,0.204650586,0.214943147,0.227840735,0.242328016,0.25860198,0.277579512,0.293278085,0.309534777,0.332522366,0.357749286,0.380252027,0.398841395,0.411905268,0.423678175,0.433222848,0.440949783,0.450359347,0.472224114,0.488674302,0.497260877,0.492103089,0.492488845,0.488215471,0.485242484,0.486304223,0.481810169,0.482152635,0.478579188,0.485735021,0.477018907,0.477870714,0.47284071,0.473532061,0.471800183,0.468031873,0.46799208,0.465947519,0.463571043,0.462102955,0.461812952,0.459175044,0.454480073,0.45556796,0.452544961,0.451343337,0.450956292,0.447441826,0.447998873,0.445113887,0.444060211,0.44171073,0.440644513,0.439371813,0.438555042,0.437748032,0.436031702,0.435077688,0.436368665,0.432305498,0.432696673,0.429646038,0.428833164,0.427554301,0.427358963,0.422834567,0.424451419,0.429152476,0.420676158,0.419150292,0.42922929,0.42137856
F01,0.15796854,0.152956404,0.15655681,0.158897408,0.160568351,0.16170369,0.163711201,0.168252879,0.174382534,0.181065558,0.188031674,0.195510214,0.204973775,0.213450715,0.228661779,0.241615959,0.256722274,0.270434317,0.284625342,0.303274711,0.325460939,0.35174175,0.371792751,0.391351783,0.405117588,0.415107321,0.425564775,0.428572636,0.436327568,0.448524906,0.457430345,0.461150912,0.465030955,0.46640543,0.466381232,0.467126342,0.468680172,0.466381232,0.467744535,0.465338464,0.465380203,0.463376327,0.464438488,0.459942593,0.460385534,0.45740658,0.458173184,0.456180685,0.453506087,0.454338675,0.451183768,0.449805653,0.449786576,0.446422499,0.446332031,0.444154393,0.442973617,0.442883885,0.439866802,0.440756627,0.437816087,0.437756271,0.435690871,0.436280287,0.433598472,0.434033729,0.431093515,0.432486767,0.430831652,0.428611,0.428974591,0.426108468,0.427040963,0.423881847,0.424279472,0.422486034,0.421082775,0.419806686,0.418782998,0.419545572,0.417675052,0.416395168,0.42129116
G01,0.153572271,0.151513906,0.152054018,0.154165377,0.154918423,0.157312896,0.160646753,0.166075367,0.172783166,0.179300382,0.18613869,0.194526796,0.204962924,0.21667985,0.229927551,0.243821612,0.25817903,0.27468153,0.287596501,0.308360604,0.333162057,0.359231969,0.37487007,0.39428026,0.404624371,0.412910946,0.418348932,0.420810992,0.43075251,0.440154919,0.449494114,0.453833371,0.450302042,0.455711931,0.453514651,0.456469078,0.456917129,0.453591648,0.455527154,0.451068964,0.452544961,0.449528025,0.449784444,0.445212484,0.447043519,0.442681536,0.443270092,0.440636217,0.438040957,0.437465612,0.435777091,0.432336033,0.431770279,0.428326396,0.428913969,0.427423363,0.424111591,0.424979734,0.421638771,0.422195467,0.419136447,0.419114713,0.417021848,0.415988984,0.414714076,0.41456159,0.412198751,0.412150172,0.411018281,0.408489481,0.408499142,0.405601783,0.406107631,0.403517608,0.403965724,0.401862787,0.401513599,0.40007995,0.398396687,0.398709445,0.396774323,0.395330041,0.396342997
H01,0.14714519,0.145339899,0.146591103,0.148161264,0.149724374,0.153021707,0.157436171,0.163518147,0.170123909,0.17630844,0.185922694,0.194926254,0.206639525,0.21967101,0.229999107,0.244386697,0.257209128,0.271992772,0.288764061,0.311462315,0.337647018,0.360590237,0.376076024,0.393676209,0.403239473,0.409064328,0.413975537,0.419008075,0.428124682,0.43725342,0.439289053,0.445861162,0.44355212,0.449250552,0.447026651,0.449873497,0.450423032,0.447857417,0.448421343,0.445993556,0.445567157,0.443161499,0.443082145,0.440399654,0.439527087,0.437865581,0.435366719,0.433780308,0.430925023,0.430711915,0.42911204,0.426958493,0.425518679,0.423470619,0.423718105,0.421154198,0.419008075,0.419160153,0.416554234,0.416717248,0.415185625,0.414209862,0.412159872,0.411961614,0.410863204,0.40955104,0.40842589,0.407647896,0.406577568,0.404897666,0.404462016,0.402584827,0.402046959,0.400454464,0.400006212,0.398833873,0.397954297,0.396699273,0.394881429,0.394472476,0.392654616,0.391270239,0.391772632
A02,0.150698615,0.149457812,0.150782734,0.153685891,0.154105293,0.157395059,0.162135277,0.167847277,0.175065586,0.181973129,0.190661964,0.200316459,0.208023599,0.220482983,0.234592361,0.249222297,0.264727671,0.282221728,0.299997939,0.3214827,0.348334768,0.370775312,0.388466842,0.404209961,0.411452827,0.418629051,0.423756042,0.428758441,0.437383206,0.445659529,0.44964879,0.457881519,0.452553507,0.457523116,0.454047407,0.456094655,0.455436931,0.454917502,0.453426998,0.45234659,0.449701807,0.452077968,0.44831569,0.448047442,0.444759587,0.444265306,0.441267734,0.439280768,0.438294811,0.436058373,0.432998411,0.431937065,0.430083426,0.429613657,0.428253787,0.426192808,0.425743285,0.424625479,0.423704132,0.422511906,0.421489756,0.419276729,0.418577749,0.417090692,0.41711229,0.414868621,0.414946848,0.412782442,0.411355777,0.410958154,0.409238087,0.409442835,0.407824935,0.407836513,0.405601783,0.405150097,0.404232862,0.403024328,0.402746492,0.40045257,0.399237503,0.398656686,0.397518007
B02,0.147365978,0.147262459,0.148463052,0.147923166,0.150222904,0.152050808,0.156672286,0.163408493,0.170206307,0.176804539,0.184730368,0.192072105,0.204469762,0.21692532,0.22963758,0.24204016,0.255526504,0.271005614,0.288315076,0.310109242,0.337699407,0.359149374,0.376319434,0.392978154,0.405285929,0.408634093,0.412381557,0.417336532,0.423811964,0.431692993,0.434140056,0.438199841,0.439802566,0.443539554,0.443159409,0.44607553,0.445607055,0.444108366,0.44576876,0.44239382,0.442060491,0.43991031,0.439460843,0.438617012,0.436165229,0.433447361,0.43213246,0.430440138,0.427814203,0.426644813,0.424695504,0.425885721,0.421658615,0.420143169,0.419644473,0.417675052,0.415755658,0.414751253,0.414024352,0.413066773,0.411745974,0.411053164,0.410251121,0.409427387,0.408923454,0.40772294,0.405764607,0.404903413,0.403431855,0.402679883,0.402514464,0.400554764,0.400357973,0.399320537,0.398720773,0.397416548,0.396703053,0.394905704,0.395281413,0.393084174,0.392706642,0.391857988,0.391540844
